name,ingredients
Vegetable Fried Rice,"rice, carrots, peas, corn, green beans, soy sauce, garlic, eggs"
Tofu Fried Rice,"tofu, rice, carrots, peas, green beans, soy sauce, garlic"
Quinoa Salad,"quinoa, cucumber, tomatoes, feta cheese, red onion, lemon juice, olive oil, parsley"
Tabbouleh Salad,"bulgur, parsley, tomatoes, lemon juice, olive oil, mint"
Lentil Soup,"lentils, carrots, celery, onions, vegetable broth, tomato paste, cumin, bay leaves"
Vegetable Lasagna,"lasagna noodles, spinach, mushrooms, ricotta cheese, mozzarella cheese, tomato sauce"
Chickpea Curry,"chickpeas, coconut milk, tomatoes, onions, garlic, ginger, curry powder"
Quinoa Buddha Bowl,"quinoa, kale, sweet potatoes, avocado, chickpeas, tahini dressing"
Grilled Salmon with Asparagus,"salmon fillets, asparagus, lemon, garlic, olive oil, salt, pepper"
Chocolate Lava Cakes,"dark chocolate, butter, eggs, sugar, flour, cocoa powder"
Mediterranean Quinoa Salad,"quinoa, cherry tomatoes, cucumbers, red onion, feta cheese, parsley, lemon juice, olive oil"
Spinach and Feta Stuffed Chicken,"chicken breasts, spinach, feta cheese, garlic, lemon juice, olive oil"
Vegan Lentil and Sweet Potato Shepherd's Pie,"lentils, sweet potatoes, carrots, peas, vegetable broth, tomato paste, thyme"
Cauliflower Crust Pizza,"cauliflower, eggs, mozzarella cheese, tomato sauce, basil, mushrooms"
Banana Bread,"bananas, flour, sugar, eggs, butter, baking soda, vanilla extract"
Vegetable Stir-Fry,"bell peppers, broccoli, carrots, snap peas, mushrooms, soy sauce, garlic, ginger"
Greek Salad,"tomatoes, cucumbers, red onion, feta cheese, Kalamata olives, oregano, lemon juice, olive oil"
Turkey Meatballs with Zucchini Noodles,"ground turkey, zucchini, eggs, breadcrumbs, garlic, parsley, tomato sauce"
Overnight Oats,"rolled oats, almond milk, chia seeds, maple syrup, vanilla extract, mixed berries"
Flourless Chocolate Cake,"dark chocolate, butter, eggs, sugar, cocoa powder"
Pesto Zucchini Noodles,"zucchini, basil pesto, cherry tomatoes, pine nuts, parmesan cheese"
Baked Oatmeal with Berries,"rolled oats, almond milk, eggs, maple syrup, mixed berries, vanilla extract"
Vegetarian Chili,"kidney beans, black beans, tomatoes, bell peppers, onions, garlic, chili powder, cumin"
Caprese Salad,"tomatoes, fresh mozzarella cheese, basil, balsamic glaze, olive oil"
Chocolate Avocado Mousse,"avocado, cocoa powder, maple syrup, vanilla extract, almond milk"
Avocado Toast with Egg,"whole grain bread, avocado, eggs, red pepper flakes, salt, pepper"
Beef and Broccoli Stir-Fry,"sirloin steak, broccoli, carrots, bell peppers, soy sauce, garlic, ginger"
Vegetable Fried Rice(new),"rice, carrots, peas, corn, green beans, soy sauce, garlic, eggs"
Quinoa Salad(new),"quinoa, cucumber, tomatoes, feta cheese, red onion, lemon juice, olive oil, parsley"
Lentil Soup(new),"lentils, carrots, celery, onions, vegetable broth, tomato paste, cumin, bay leaves"
Chickpea Salad,"chickpeas, cucumber, tomatoes, red onion, feta cheese, lemon juice, olive oil, parsley"
Mushroom Risotto,"arborio rice, mushrooms, onion, garlic, vegetable broth, white wine, Parmesan cheese, olive oil, parsley"
Spinach and Feta Stuffed Peppers,"bell peppers, spinach, feta cheese, quinoa, onion, garlic, olive oil, salt, pepper"
Black Bean Tacos,"black beans, corn tortillas, avocado, red cabbage, lime, cilantro, cumin, garlic powder, salt, pepper"
Sweet Potato and Black Bean Chili,"sweet potatoes, black beans, tomatoes, onion, garlic, chili powder, cumin, vegetable broth, olive oil, salt, pepper"
Grilled Chicken Salad,"chicken breast, mixed greens, cherry tomatoes, cucumber, red onion, olive oil, lemon juice, salt, pepper"
Vegan Pancakes,"flour, almond milk, baking powder, maple syrup, vanilla extract, salt"
Gluten-Free Banana Bread,"gluten-free flour, bananas, eggs, coconut oil, honey, baking soda, vanilla extract, salt"
Chocolate Avocado Mousse,"ripe avocados, cocoa powder, maple syrup, vanilla extract, almond milk"
Quinoa Breakfast Bowl,"quinoa, almond milk, berries, honey, chia seeds, almonds"
Spicy Shrimp Tacos,"shrimp, corn tortillas, cabbage, avocado, lime, cilantro, chili powder, cumin, garlic powder, salt, pepper"
Vegan Buddha Bowl,"quinoa, chickpeas, sweet potatoes, spinach, avocado, tahini, lemon juice, garlic powder, salt, pepper"
Greek Yogurt Parfait,"Greek yogurt, granola, berries, honey, chia seeds"
Lentil Veggie Burgers,"lentils, breadcrumbs, carrot, onion, garlic, cumin, salt, pepper, olive oil, burger buns"
Chocolate Chia Pudding,"chia seeds, almond milk, cocoa powder, maple syrup, vanilla extract"
Margherita Pizza,"pizza dough, tomatoes, fresh mozzarella, basil leaves, olive oil, salt"
BBQ Chicken Pizza,"pizza dough, BBQ sauce, cooked chicken breast, red onion, mozzarella, cilantro"
Vegan Veggie Pizza,"pizza dough, tomato sauce, bell peppers, red onion, mushrooms, spinach, vegan cheese"
Pepperoni Pizza,"pizza dough, tomato sauce, mozzarella, pepperoni slices, oregano"
Gluten-Free Pizza,"gluten-free pizza crust, tomato sauce, mozzarella, cherry tomatoes, basil, olive oil"
